	ReferenceID	Latitude	Longitude	DateTime	day_of_week_sin	day_of_week_cos	time_sin	time_cos
0	SAPD24174377	-0.4150668204328082	-0.30673375780189893	2024-08-11 20:25:00.000	-0.7818314824680299	0.6234898018587334	-0.8064446042674829	0.591309648363582
1	SAPD24173173	0.29572705379553543	-0.4932301905529263	2024-08-11 08:52:00.000	-0.7818314824680299	0.6234898018587334	0.7313537016191706	-0.6819983600624984
2	SAPD24174320	0.271903195169936	-0.3060888536709898	2024-08-10 20:00:00.000	-0.9749279121818236	-0.2225209339563146	-0.8660254037844386	0.5000000000000001
3	24-39826	0.7203971915066809	0.5524753827893985	2024-08-10 18:35:37.000	-0.9749279121818236	-0.2225209339563146	-0.9883615104677607	0.15212338618991678
4	24-39804	0.7223178549623499	0.6046556379122883	2024-08-10 16:38:04.000	-0.9749279121818236	-0.2225209339563146	-0.9366721892483976	-0.3502073812594676
5	24-39920	0.7701139678447833	0.6018817731564228	2024-08-10 16:30:00.000	-0.9749279121818236	-0.2225209339563146	-0.9238795325112865	-0.38268343236509034
6	SAPD24173976	0.2117817651448226	-0.1682010985467246	2024-08-10 15:00:00.000	-0.9749279121818236	-0.2225209339563146	-0.7071067811865475	-0.7071067811865477
7	SAPD24173249	-0.8515619700156039	-0.620475732528832	2024-08-10 10:20:00.000	-0.9749279121818236	-0.2225209339563146	0.4226182617406995	-0.9063077870366499
8	SAPD24173158	0.2673283698527904	-0.49780926888008237	2024-08-10 08:32:00.000	-0.9749279121818236	-0.2225209339563146	0.788010753606722	-0.6156614753256583
9	24-39745	0.8369344006512422	0.3451218698524896	2024-08-10 03:12:00.000	-0.9749279121818236	-0.2225209339563146	0.7431448254773941	0.6691306063588582
10	SAPD24173006	0.48438029984396214	-0.2824501387999374	2024-08-10 00:00:00.000	-0.9749279121818236	-0.2225209339563146	0.0	1.0
11	SAPD24172507	-0.018392578522498426	-0.551750707974964	2024-08-09 10:50:00.000	-0.433883739117558	-0.9009688679024191	0.30070579950427334	-0.9537169507482268
12	SAPD24172243	-0.02181415779119722	-0.6534383625456638	2024-08-09 03:00:00.000	-0.433883739117558	-0.9009688679024191	0.7071067811865476	0.7071067811865476
13	SAPD24172494	-0.29296689505461837	-0.7251703497340429	2024-08-08 15:00:00.000	0.43388373911755823	-0.900968867902419	-0.7071067811865475	-0.7071067811865477
14	SAPD24171628	-0.47884302286141334	-0.399032747816064	2024-08-08 05:54:00.000	0.43388373911755823	-0.900968867902419	0.9996573249755573	0.02617694830787336
15	SAPD24171222	-0.7165261854691112	-0.4554527943538702	2024-08-07 20:30:00.000	0.9749279121818236	-0.22252093395631434	-0.7933533402912352	0.6087614290087205
16	SAPD24171177	-0.23567346177329562	-0.6507577369412416	2024-08-07 17:54:00.000	0.9749279121818236	-0.22252093395631434	-0.9996573249755573	-0.026176948307873482
17	SAPD24171002	-0.40571365578998586	-0.5267496655020695	2024-08-07 15:11:00.000	0.9749279121818236	-0.22252093395631434	-0.7402181274868318	-0.6723668074346684
18	SAPD24170669	-0.5419323655111572	-0.5121214786288957	2024-08-07 06:30:00.000	0.9749279121818236	-0.22252093395631434	0.9914448613738105	-0.13052619222005138
19	SAPD24170369	-0.6077606675259513	-0.5926516157478905	2024-08-06 17:42:00.000	0.7818314824680298	0.6234898018587336	-0.996917333733128	-0.07845909572784468
20	SAPD24172434	-0.07039464758158243	-0.365148086190342	2024-08-06 17:00:00.000	0.7818314824680298	0.6234898018587336	-0.9659258262890683	-0.25881904510252063
